well_ID,Reaction_ID,analyte_smiles,analyte_class,data_entry,data_type,data_units,data_description
C1,SOCS2A-478-RP3573-2,Impurity4,impurity,0,ES+,Da/Q,Positive m/z
C1,SOCS2A-478-RP3573-2,Impurity4,impurity,0,ES-,Da/Q,Negative m/z
C1,SOCS2A-478-RP3573-2,Impurity4,impurity,18.085,Percentage Area,%,LCMS UV Peak percentage area
C1,SOCS2A-478-RP3573-2,Impurity4,impurity,336328.0,Area Absolute,AU,LCMS UV Peak absolute area
C1,SOCS2A-478-RP3573-2,Impurity6,impurity,2.136,Retention Time,min,Time at which compound elutes
C1,SOCS2A-478-RP3573-2,Impurity6,impurity,0,ES+,Da/Q,Positive m/z
C1,SOCS2A-478-RP3573-2,Impurity6,impurity,0,ES-,Da/Q,Negative m/z
C1,SOCS2A-478-RP3573-2,Impurity6,impurity,45.32,Percentage Area,%,LCMS UV Peak percentage area
C1,SOCS2A-478-RP3573-2,Impurity6,impurity,842822.0,Area Absolute,AU,LCMS UV Peak absolute area
C1,SOCS2A-478-RP3573-2,Impurity7,impurity,2.24,Retention Time,min,Time at which compound elutes
C1,SOCS2A-478-RP3573-2,Impurity7,impurity,0,ES+,Da/Q,Positive m/z
C1,SOCS2A-478-RP3573-2,Impurity7,impurity,0,ES-,Da/Q,Negative m/z
C1,SOCS2A-478-RP3573-2,Impurity7,impurity,0.279,Percentage Area,%,LCMS UV Peak percentage area
C1,SOCS2A-478-RP3573-2,Impurity7,impurity,5181.0,Area Absolute,AU,LCMS UV Peak absolute area
C1,SOCS2A-478-RP3573-2,Impurity8,impurity,2.581,Retention Time,min,Time at which compound elutes
C1,SOCS2A-478-RP3573-2,Impurity8,impurity,0,ES+,Da/Q,Positive m/z
C1,SOCS2A-478-RP3573-2,Impurity8,impurity,0,ES-,Da/Q,Negative m/z
C1,SOCS2A-478-RP3573-2,Impurity8,impurity,0.235,Percentage Area,%,LCMS UV Peak percentage area
C1,SOCS2A-478-RP3573-2,Impurity8,impurity,4378.0,Area Absolute,AU,LCMS UV Peak absolute area
C2,SOCS2A-478-RP3573-10,Cc1cc(-c2cc(CO)ccc2Cl)n[nH]1,desired product,1.343,Retention Time,min,Time at which compound elutes
C2,SOCS2A-478-RP3573-10,Cc1cc(-c2cc(CO)ccc2Cl)n[nH]1,desired product,222.95,ES+,Da/Q,Positive m/z
C2,SOCS2A-478-RP3573-10,Cc1cc(-c2cc(CO)ccc2Cl)n[nH]1,desired product,-,ES-,Da/Q,Negative m/z
C2,SOCS2A-478-RP3573-10,Cc1cc(-c2cc(CO)ccc2Cl)n[nH]1,desired product,17.894,Percentage Area,%,LCMS UV Peak percentage area
C2,SOCS2A-478-RP3573-10,Cc1cc(-c2cc(CO)ccc2Cl)n[nH]1,desired product,323588.0,Area Absolute,AU,LCMS UV Peak absolute area
C2,SOCS2A-478-RP3573-10,Impurity0,impurity,1.161,Retention Time,min,Time at which compound elutes
C2,SOCS2A-478-RP3573-10,Impurity0,impurity,0,ES+,Da/Q,Positive m/z
C2,SOCS2A-478-RP3573-10,Impurity0,impurity,0,ES-,Da/Q,Negative m/z
C2,SOCS2A-478-RP3573-10,Impurity0,impurity,1.408,Percentage Area,%,LCMS UV Peak percentage area
C2,SOCS2A-478-RP3573-10,Impurity0,impurity,25453.0,Area Absolute,AU,LCMS UV Peak absolute area
C2,SOCS2A-478-RP3573-10,Impurity1,impurity,1.497,Retention Time,min,Time at which compound elutes
C2,SOCS2A-478-RP3573-10,Impurity1,impurity,0,ES+,Da/Q,Positive m/z
C2,SOCS2A-478-RP3573-10,Impurity1,impurity,0,ES-,Da/Q,Negative m/z
C2,SOCS2A-478-RP3573-10,Impurity1,impurity,2.7,Percentage Area,%,LCMS UV Peak percentage area
C2,SOCS2A-478-RP3573-10,Impurity1,impurity,48833.0,Area Absolute,AU,LCMS UV Peak absolute area
C2,SOCS2A-478-RP3573-10,Impurity2,impurity,1.558,Retention Time,min,Time at which compound elutes
C2,SOCS2A-478-RP3573-10,Impurity2,impurity,0,ES+,Da/Q,Positive m/z
C2,SOCS2A-478-RP3573-10,Impurity2,impurity,0,ES-,Da/Q,Negative m/z
C2,SOCS2A-478-RP3573-10,Impurity2,impurity,0.361,Percentage Area,%,LCMS UV Peak percentage area
C2,SOCS2A-478-RP3573-10,Impurity2,impurity,6532.0,Area Absolute,AU,LCMS UV Peak absolute area
C2,SOCS2A-478-RP3573-10,Impurity3,impurity,1.688,Retention Time,min,Time at which compound elutes
C2,SOCS2A-478-RP3573-10,Impurity3,impurity,0,ES+,Da/Q,Positive m/z
C2,SOCS2A-478-RP3573-10,Impurity3,impurity,0,ES-,Da/Q,Negative m/z
C2,SOCS2A-478-RP3573-10,Impurity3,impurity,0.601,Percentage Area,%,LCMS UV Peak percentage area
C2,SOCS2A-478-RP3573-10,Impurity3,impurity,10871.0,Area Absolute,AU,LCMS UV Peak absolute area
C2,SOCS2A-478-RP3573-10,Impurity4,impurity,1.749,Retention Time,min,Time at which compound elutes
C2,SOCS2A-478-RP3573-10,Impurity4,impurity,0,ES+,Da/Q,Positive m/z
C2,SOCS2A-478-RP3573-10,Impurity4,impurity,0,ES-,Da/Q,Negative m/z
C2,SOCS2A-478-RP3573-10,Impurity4,impurity,27.143,Percentage Area,%,LCMS UV Peak percentage area
C2,SOCS2A-478-RP3573-10,Impurity4,impurity,490833.0,Area Absolute,AU,LCMS UV Peak absolute area
C2,SOCS2A-478-RP3573-10,Impurity6,impurity,2.136,Retention Time,min,Time at which compound elutes
C2,SOCS2A-478-RP3573-10,Impurity6,impurity,0,ES+,Da/Q,Positive m/z
C2,SOCS2A-478-RP3573-10,Impurity6,impurity,0,ES-,Da/Q,Negative m/z
C2,SOCS2A-478-RP3573-10,Impurity6,impurity,44.472,Percentage Area,%,LCMS UV Peak percentage area
C2,SOCS2A-478-RP3573-10,Impurity6,impurity,804201.0,Area Absolute,AU,LCMS UV Peak absolute area
C2,SOCS2A-478-RP3573-10,Impurity7,impurity,2.24,Retention Time,min,Time at which compound elutes
C2,SOCS2A-478-RP3573-10,Impurity7,impurity,0,ES+,Da/Q,Positive m/z
C2,SOCS2A-478-RP3573-10,Impurity7,impurity,0,ES-,Da/Q,Negative m/z
C2,SOCS2A-478-RP3573-10,Impurity7,impurity,0.131,Percentage Area,%,LCMS UV Peak percentage area
C2,SOCS2A-478-RP3573-10,Impurity7,impurity,2372.0,Area Absolute,AU,LCMS UV Peak absolute area
C2,SOCS2A-478-RP3573-10,Impurity8,impurity,2.58,Retention Time,min,Time at which compound elutes
C2,SOCS2A-478-RP3573-10,Impurity8,impurity,0,ES+,Da/Q,Positive m/z
C2,SOCS2A-478-RP3573-10,Impurity8,impurity,0,ES-,Da/Q,Negative m/z
C2,SOCS2A-478-RP3573-10,Impurity8,impurity,0.855,Percentage Area,%,LCMS UV Peak percentage area
C2,SOCS2A-478-RP3573-10,Impurity8,impurity,15458.0,Area Absolute,AU,LCMS UV Peak absolute area
D1,SOCS2A-478-RP3573-3,Cc1cc(-c2ccccc2O)n[nH]1,desired product,1.489,Retention Time,min,Time at which compound elutes
D1,SOCS2A-478-RP3573-3,Cc1cc(-c2ccccc2O)n[nH]1,desired product,174.95,ES+,Da/Q,Positive m/z
D1,SOCS2A-478-RP3573-3,Cc1cc(-c2ccccc2O)n[nH]1,desired product,172.85,ES-,Da/Q,Negative m/z
D1,SOCS2A-478-RP3573-3,Cc1cc(-c2ccccc2O)n[nH]1,desired product,5.348,Percentage Area,%,LCMS UV Peak percentage area
D1,SOCS2A-478-RP3573-3,Cc1cc(-c2ccccc2O)n[nH]1,desired product,65693.0,Area Absolute,AU,LCMS UV Peak absolute area
D1,SOCS2A-478-RP3573-3,Impurity2,impurity,1.572,Retention Time,min,Time at which compound elutes
D1,SOCS2A-478-RP3573-3,Impurity2,impurity,0,ES+,Da/Q,Positive m/z
D1,SOCS2A-478-RP3573-3,Impurity2,impurity,0,ES-,Da/Q,Negative m/z
D1,SOCS2A-478-RP3573-3,Impurity2,impurity,0.629,Percentage Area,%,LCMS UV Peak percentage area
D1,SOCS2A-478-RP3573-3,Impurity2,impurity,7723.0,Area Absolute,AU,LCMS UV Peak absolute area
D1,SOCS2A-478-RP3573-3,Impurity4,impurity,1.75,Retention Time,min,Time at which compound elutes
D1,SOCS2A-478-RP3573-3,Impurity4,impurity,0,ES+,Da/Q,Positive m/z
D1,SOCS2A-478-RP3573-3,Impurity4,impurity,0,ES-,Da/Q,Negative m/z
D1,SOCS2A-478-RP3573-3,Impurity4,impurity,10.771,Percentage Area,%,LCMS UV Peak percentage area
D1,SOCS2A-478-RP3573-3,Impurity4,impurity,132298.0,Area Absolute,AU,LCMS UV Peak absolute area
D1,SOCS2A-478-RP3573-3,Impurity6,impurity,2.136,Retention Time,min,Time at which compound elutes
D1,SOCS2A-478-RP3573-3,Impurity6,impurity,0,ES+,Da/Q,Positive m/z
D1,SOCS2A-478-RP3573-3,Impurity6,impurity,0,ES-,Da/Q,Negative m/z
D1,SOCS2A-478-RP3573-3,Impurity6,impurity,67.629,Percentage Area,%,LCMS UV Peak percentage area
D1,SOCS2A-478-RP3573-3,Impurity6,impurity,830684.0,Area Absolute,AU,LCMS UV Peak absolute area
D1,SOCS2A-478-RP3573-3,Impurity7,impurity,2.244,Retention Time,min,Time at which compound elutes
D1,SOCS2A-478-RP3573-3,Impurity7,impurity,0,ES+,Da/Q,Positive m/z
D1,SOCS2A-478-RP3573-3,Impurity7,impurity,0,ES-,Da/Q,Negative m/z
D1,SOCS2A-478-RP3573-3,Impurity7,impurity,0.5,Percentage Area,%,LCMS UV Peak percentage area
D1,SOCS2A-478-RP3573-3,Impurity7,impurity,6142.0,Area Absolute,AU,LCMS UV Peak absolute area
D1,SOCS2A-478-RP3573-3,Impurity8,impurity,2.581,Retention Time,min,Time at which compound elutes
D1,SOCS2A-478-RP3573-3,Impurity8,impurity,0,ES+,Da/Q,Positive m/z
D1,SOCS2A-478-RP3573-3,Impurity8,impurity,0,ES-,Da/Q,Negative m/z
D1,SOCS2A-478-RP3573-3,Impurity8,impurity,1.257,Percentage Area,%,LCMS UV Peak percentage area
D1,SOCS2A-478-RP3573-3,Impurity8,impurity,15436.0,Area Absolute,AU,LCMS UV Peak absolute area
D2,SOCS2A-478-RP3573-11,Cc1cc(-c2sccc2C)n[nH]1,desired product,1.472,Retention Time,min,Time at which compound elutes
D2,SOCS2A-478-RP3573-11,Cc1cc(-c2sccc2C)n[nH]1,desired product,179.0,ES+,Da/Q,Positive m/z
D2,SOCS2A-478-RP3573-11,Cc1cc(-c2sccc2C)n[nH]1,desired product,-,ES-,Da/Q,Negative m/z
D2,SOCS2A-478-RP3573-11,Cc1cc(-c2sccc2C)n[nH]1,desired product,5.909,Percentage Area,%,LCMS UV Peak percentage area
